company_id,num_employees,amount_in,amount_out,transactions_in,transactions_out,num_customers,num_vendors,has_intuit_payments
180922006,,1761.5,0.0,1.8,0.0,0.9,0.0,0
180940366,27.3,0.0,6877.3,0.0,10.7,0.0,6.8,1
181053264,4.9,20317.7,86385.9,4.9,31.9,2.2,20.6,0
181068816,,0.0,120.9,0.0,0.4,0.0,0.4,0
181255443,,22510.8,22539.0,3.8,64.0,0.0,39.1,0
181367045,6.7,118447.6,111389.8,2.8,17.7,0.8,5.6,0
181367693,3.0,26182.7,25113.5,2.2,50.5,0.0,37.3,0
181461294,6.0,22391.5,665.9,26.3,0.9,21.6,0.8,0
181484838,1.0,0.0,184.0,0.0,0.3,0.0,0.2,0
181500031,,8463.7,15196.9,1.1,18.6,1.0,15.1,0
181580456,,1063.1,0.0,1.3,0.0,0.8,0.0,0
181612208,7.0,31756.4,20564.7,3.3,16.2,2.8,11.9,0
181697458,11.3,37108.0,42122.0,4.6,59.9,1.7,31.6,0
181704802,66.2,86326.7,68946.0,104.0,61.0,68.7,34.8,1
181821156,5.0,98611.5,90080.2,39.7,32.3,17.8,23.1,0
181839732,5.0,140271.7,150668.7,28.4,70.3,2.5,27.7,0
181955222,15.0,129491.7,32497.3,7.4,32.8,2.9,25.3,0
181989998,8.7,55737.5,38528.4,6.9,29.5,4.8,10.6,0
182013758,,533.3,3112.3,0.1,25.2,0.0,3.3,0
182067831,1.0,1891.8,1136.2,4.6,7.8,1.3,4.8,1
182208161,,6351.7,4569.0,30.8,19.8,22.2,13.7,0
182267418,,13048.9,6499.3,204.7,40.9,64.7,7.4,0
182308531,,212291.7,123606.4,0.7,7.5,0.2,5.9,0
182362820,5.0,34690.5,13210.1,1.1,20.9,1.0,11.4,1
182469165,4.0,13568.1,13493.9,5.5,50.3,4.6,17.1,0
182484142,20.0,25891.2,17985.4,10.8,26.1,0.0,22.2,0
182564783,2.0,81671.1,67438.9,6.8,13.6,3.4,6.6,0
182565215,,845.4,373636.7,0.5,38.0,0.5,31.9,0
182791802,2.0,12239.7,14073.7,3.5,15.8,1.9,9.7,0
182891956,3.0,2047.8,325.8,0.2,0.2,0.2,0.0,1
182898004,,4878.2,3363.3,5.3,23.8,0.5,14.0,0
182933428,2.0,754.3,0.0,2.4,0.0,2.1,0.0,0
182960285,,6399.2,1069.6,2.5,5.0,0.0,3.9,0
182970437,,7608.0,7376.9,3.1,77.5,0.0,43.2,0
182977565,1.0,10807.6,5403.1,9.0,41.3,0.1,31.9,0
183026886,,4035.8,3863.0,3.6,42.1,0.0,1.1,0
183031422,,17662.8,101263.5,4.1,26.8,3.0,19.7,0
183054750,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
183125887,,6819.2,5094.3,3.7,19.8,1.5,14.3,0
183256065,3.0,6025.2,4987.5,15.8,35.5,0.3,15.8,1
183267154,,27818.8,0.0,13.0,0.0,8.3,0.0,0
183277954,1.0,14611.1,16815.2,4.7,24.8,2.7,17.0,0
183310354,1.0,181250.0,88951.9,6.0,6.5,5.1,5.0,1
183334835,,14249.2,19526.4,1.3,67.3,0.8,2.6,0
183346931,1.0,2378.9,2112.1,1.2,4.2,0.8,2.9,0
183377603,,0.0,0.0,0.0,0.0,0.0,0.0,0
183565526,2.3,108438.4,67086.2,69.3,333.5,53.0,22.5,1
183568766,,12604.3,30326.5,0.5,8.0,0.0,5.9,0
183593247,1.0,6499.6,4254.4,11.6,42.2,8.3,0.3,0
183606639,13.0,29086.0,21635.7,39.4,63.3,23.3,26.1,0
183616359,12.0,20767.9,20210.2,3.2,24.7,0.0,11.8,0
183634287,11.0,3871.2,1711.7,3.9,5.4,1.0,3.1,0
183719248,,6164.1,2235.9,5.4,2.1,3.5,0.0,0
183719680,,568.5,175.2,1.4,1.1,1.0,1.0,0
183723641,,33117.7,28056.5,13.2,117.7,9.9,58.3,0
183725585,,1579.9,0.0,3.5,0.0,3.5,0.0,0
183740705,6.0,52319.7,46445.5,21.4,32.8,3.3,21.0,0
183845970,,11401.8,14807.1,1.6,12.0,1.1,7.5,0
